Name,Address 1,Address 2,City,State,Zip,Website
3M,,,St. Paul,MN,55144,
7 Cups,,,Silicon Valley,CA,,https://www.7cups.com/
Accessible360,1422 W Lake St #314,,Minneapolis,MN,55408,
Ackmann & Dickenson,515 N Washington Ave,Suite 400,Minneapolis,MN,55401,https://www.ackmanndickenson.com/
Actifi,3030 Harbor Ln N # 216,,Plymouth,MN,55447,
Aerotek,8501 Golden Valley Rd,#200,Minneapolis,MN,55427,https://www.aerotek.com/
Aetna,1915 Lyndale Ave S,,Minneapolis,MN,55403,https://www.aetna.com/index.html
AIM Consulting,6600 France Ave S,Suite 620,Minneapolis,MN,55435,https://aimconsulting.com/
AirVuz,10 S 5th St #888,,Minneapolis,MN,55402,https://www.airvuz.com
Allianz,5701 Golden Hills Dr,,Minneapolis,MN,55416,https://www.allianzlife.com/
Allina Health,,,Minneapolis,MN,,https://www.allinahealth.org/
Ameriprise Financial Services,70100 Ameriprise Financial Center,,Minneapolis,MN,55474,https://www.ameriprise.com/
Apex,3601 W 76th St #250,,Minneapolis,MN,55435,https://www.apexsystems.com/
AquaMedix,PO Box 390464,,Minneapolis,MN,55439,https://aquamedix.net/
Aquatics Empowered,,,Fargo,ND,,
ArcStone,2836 Lyndale Ave S,#132,Minneapolis,MN,55408,
A-Sharp Energy,,,Minneapolis,MN,,https://www.asharpenergy.com/pages/landing
Aston Technologies,5402 Parkdale Drive.,Suite 211,St Louis Park,MN,55416,http://www.astontech.com/
Augeo+Greer,2561 W Territorial Rd,,St Paul,MN,55114,https://www.augeodigital.com/
August Ash,2626 E 82nd St Suite 320,,Bloomington,MN,55425,https://www.augustash.com/
Automattic,132 Hawthorne St.,,"San Franscisco, CA",MN,94107,https://automattic.com/
Avionte,1270 Eagan Industrial Rd #150,,Eagan,MN,55121,
AVI Systems,9675 W 76th St #200,,Eden Prairie,MN,55344,https://www.avisystems.com/
Azend Inc.,8009 34th Avenue South,S17,Bloomington,MN,55425,
Banno,,,Cedar Falls,IA,,https://banno.com/
Best Buy,7601 Penn Ave S.,,Richfield,MN,55423,
Bibliotheca,403 Hayward Ave N,,Oakdale,MN,55128,http://www.bibliotheca.com/3/index.php/en-us/
BI Worldwide, 7630 Bush Lake Rd,,Minneapolis,MN,55439,https://www.biworldwide.com/
Blue Earth Interactive,235 6th St E #300a,,St. Paul,MN,55101,http://www.blueearth.net/
Bluekeel,2785 N Speer Blvd,,Denver,CO,80211,http://www.bluekeel.com
Boston Scientific,,,Arden Hills,MN,55126,
Brandography,100 W Franklin Ave #200,,Minneapolis,MN,55405,
"Brick, INC",10 S. Fifth St. #200 ,,Minneapolis,MN,55402,https://www.trybrick.com/
Brightpeak,901 N 3rd St #195,,Minneapolis,MN,55401,
Brookfield Renewable,,,Unknown,MN,,
Buzzfeed,945 Broadway St NE,,Minneapolis,MN,55413,
Calabrio,400 N 1st Ave Suite 300,,Minneapolis,MN,55401,
Camping World,,,NOT SURE,NC,,http://www.campingworldgoodsamjobs.com/
Capella University,225 South 6th St,,Minneapolis,MN,55402,https://www.capella.edu/lp/home/?revkey=218456&WT.srch=1&dfaid=1&cid=00fbd149-fb6d-4d47-b896-cb0096467717&keninvocaid=p.157.00fbd149-fb6d-4d47-b896-cb0096467717.23457&gclid=EAIaIQobChMIpMjCkrr_1QIVSJ7ACh0pLgdZEAAYASAAEgKw0fD_BwE
Capstone Publishing,5050 Lincoln Dr #200,,Edina,MN,55436,http://www.capstonepub.com/
CenTrav,511 E Travelers Trail,,Burnsville,MN,55337,
C.H. Robinson,14800 Charlson Rd. Suite 1500 ,,Eden Prairie,MN,55347,https://www.chrobinson.com
City of Minneapolis,350 S 5th St,,Minneapolis,MN,55415,http://www.ci.minneapolis.mn.us/
Cloudburst Software Collective,11 4th St NE,#201,Minneapolis,MN,55413,https://www.cloudburstcollective.com/
Concord,509 2nd Ave S.,,Hopkins,MN,55343,
Concur,10700 Prairie Lakes Dr,,Eden Prairie,MN,55344,https://www.concur.com/
Contata Solutions,900 2nd Ave S.,#495,Minneapolis,MN,55402,http://www.contata.com/
Country Financial,,,Minneapolis,MN,,
Cox Media Group,6205 Peachtree Dunwoody Rd.,,Atlanta,MN,GA,
Dahl,418 Cty. Rd. D East ,,St. Paul,MN,55117,
Dakota County Criminal Justice Network,,,Inver Grove Heights,MN,,
Datatrend Technologies,"121 Cheshire Lane, #700",,Minnetonka,MN,55305,
Daugherty Business Solutions,8200 Normandale Lake Blvd ,#750,Bloomington,MN,55437,https://www.daugherty.com/
Daugherty Business Solutions,8200 Normandale Lake Blvd,#750,Bloomington,MN,55437,https://www.daugherty.com/
Dealer Teamwork,7500 Flying Cloud Dr,,Eden Prairie,MN,55344,http://www.dealerteamwork.com/
Deluxe Corporate,3680 Victoria St N,,Shoreview,MN,55126,https://www.deluxe.com/
Digital People,730 2nd Ave S #520,,Minneapolis,MN,55402,http://www.digitalpeople.net/
Digital River,,,Minnetonka,MN,,
Divi Up,401 N 3rd St.,#640,Minneapolis,MN,55401,
Dragnfly,7133 Washington Ave. S. ,,Edina,MN,55439,http://dragnfly.com/
Educational Credit Management Corporation (ECMC),111 S Washington Ave,,Minneapolis,MN,55401,https://www.ecmc.org/borrowers/index.html
Eleven,800 N Washington Ave,#505,Minneapolis,MN,55401,http://www.elevendesignco.com/
Empulse,1010 W. Lake St.,#100,Minneapolis,MN,55408,
Equity Staffing,435 Ford Road Suite Suite 120,,St. Louis Park,MN,55426,
Evereve,3914 W 50th St,,Edina,MN,55424,
Exosite,275 Market St,#535,Minneapolis,MN,55405,https://exosite.com/
Experis,400 Robert St N,#214,St. Paul,MN,55101,http://www.experisjobs.us/experisjobs.htm
Fairview,2450 Riverside Avenue ,,Minneapolis,MN,55454,http://www.fairview.org/index.htm
Faribault Woolen Mill,1500 NW 2nd Avenue,,Faribault,MN,55021,http://www.faribaultmill.com
Field Nation,901 S Marquette Ave,#2300,Minneapolis,MN,55402,https://www.fieldnation.com/
First Scribe,110 Cheshire Ln #105,,Minnetonka,MN,55305,
"Fishbowl Solutions, Inc. ",4500 Park Glen Rd #200,,Minneapolis,MN,55416,https://www.fishbowlsolutions.com/
Fjorge Digital,527 S Marquette Ave #2260,,Minneapolis,MN,55402,https://fjorgedigital.com/
Foundry,400 South 4th Street Suite 401-251,,Minneapolis,MN,55415,http://foundrymakes.com/
FOUR51,400 N 1st Ave.,#200,Minneapolis,MN,55401,
FourCubed,1121-1199 NE Jackson St,,Minneapolis,MN,55413,
Global Traffic Technologies,7800 3rd St N,,Oakdale,MN,55128,
Granicus,408 St Peter St,#600,St Paul,MN,55102,https://granicus.com/
GreatBiz Tools,"12021 Wilshire Boulevard, Suite 200 ",,Los Angeles,CA,90025,https://www.greatbiztools.com/
GrubHub,111 W Washington St,,Chicago,IL,60602,https://careers-grubhub.icims.com/jobs/intro?hashed=-435625377
Hamm Interactive,7760 France Ave S,#1100,Minneapolis,MN,55435,http://www.hamminteractive.com/landing-1-1/
Healthland,1600 Utica Avenue South,Suite 300,Minneapolis,MN,55416,
HealthPartners,8170 33rd Ave S,,Bloomington,MN,55425,https://www.healthpartners.com/hp/index.html
Heuler Companies,10400 Viking Dr.,# 190,Eden Prairie,MN,55344,
Hill Murray,2625 Larpenteur Ave E,,Maplewood,MN,55109,http://www.hill-murray.org/
Homes for Heroes,9201 W Broadway Ave,#615,Minneapolis,MN,55445,https://www.homesforheroes.com/
HOM Furniture,10301 Woodcrest Drive NW,,Coon Rapids,MN,55433,https://www.homfurniture.com/
Homi,,,Minneapolis,MN,,
Horizontal Integration,1660 MN-100,,St. Louis Park,MN,55416,http://horizontalintegration.com/
Horizontal Integration,1660 MN-100,Suite 200,St Louis Park,MN,55416,http://www.horizontalintegration.com/
ImageTrend Inc ,20855 Kensington Blvd,,Lakeville,MN,55044,http://www.imagetrend.com/
Inbox Dollars,1295 Northland Dr.,#300,Mendota Heights,MN,55120,
Infinite Campus,4321 109th Ave NE,,Blaine,MN,55449,
Infor,380 St Peter St.,,St Paul,MN,55102,
Insight Global, 800 Lasalle Ave, #2200,Minneapolis,MN,55402,https://www.insightglobal.net/
IProduction,1080 County Rd E,,Shoreview,MN,55126,http://www.iproduction.com/
Irish Titan,5320 W 23rd St #300,,St. Louis Park,MN,55416,https://www.irishtitan.com/
ITM TwentyFirst LLC ,333 S 7th St,,Minneapolis,MN,55402,https://www.itm21st.com/
Jamf,100 S Washington Ave,#1100,Minneapolis,MN,55401,https://www.jamf.com/
Kidblog,110 N 5th St,#420,Minneapolis,MN,55403,https://kidblog.org
Kinetic Data, 235 6th St E,,St. Paul,MN,55101,http://www.kineticdata.com
Kipsu,807 Broadway St NE,#230,Minneapolis,MN,55413,https://kipsu.com/
KiQui Apps,,,Minneapolis,MN,,
KNOCK Inc,1307 Glenwood Ave.,,Minneapolis,MN,55405,
KonnexME,4105 Lexington Ave N,#100,Arden Hills,MN,55126,https://www.konnexme.com/
Lab651,,,St. Paul,MN,55114,
LAKANA,355 Randolph Ave.,#100,St Paul,MN,55102,
LaterPay,AuenstraÌÙe 100,Germany,MÌ_nchen,MN,80469,
Lawinger Consulting,106 Central Ave,,Osseo,MN,55369,
Leadpages,251 N 1st Ave #200,,Minneapolis,MN,55401,http://www.leadpages.net/
LeMond Technologies,1620 Central Ave NE,#149,Minneapolis,MN,5541,http://www.lemond.cc/
Lenmar Consulting,16305 36th Ave N,#600,Plymouth,MN,55446,
Logi Solve LLC,600 Inwood Ave N,#275,Oakdale,MN,55128,http://www.logisolve.com/
Logistics Planning Service,,,St. Paul,MN,,
LuminFire,5155 East River Road,Suite 405,Minneapolis,MN,55421,https://luminfire.com/
Magenic Technologies Inc ,1600 Utica Ave S Suite 800,,St. Louis Park,MN,55416,https://magenic.com/
Mains'l Services,6840 78th Ave N,,Minneapolis,MN,55445,
Mall of America,60 E Broadway,,Bloomington,MN,55425,https://www.mallofamerica.com/
Martin Williams,150 S 5th St,#900,Minneapolis,MN,55402,http://www.martinwilliams.com/
Mayo Clinic,200 First St. SW ,,Rochester,MN,55905,http://www.mayoclinic.org/‰Û_
Meath Interactive,15116 French Dr N.,,Hugo,MN,55038,
Medtronic,710 Medtronic Parkway,,Minneapolis,MN,55432,http://www.medtronic.com/us-en/index.html
Merrill Corp,One Merrill Circle,,Saint Paul,MN,55108,
Mill City Roasters,1050 33rd Ave SE,,Minneapolis,MN,55414,
Miller Tax and Bookkeeping,303 Credit Union Drive Northeast #8,,Isanti,MN,55040,http://www.millertb.com/
MissionBox,"5608 Parkcrest Drive, Suite 350",,Austin,TX,78731,
MN.IT,,,St. Paul,MN,,
MN Senate,95 University Avenue W. ,,St. Paul,MN,55155,https://www.senate.mn/
MobilePro Systems,3150 Mike Collins Dr,#200,Eagan,MN,55121,http://www.mobileprosystems.com/
Modis,222 South 9th St,Suite 3100,Minneapolis,MN,55402,http://www.modis.com/?gclid=CIyRy-n629UCFRi1wAodv7QGGA
"Modus Engagement, Inc.",2829 University Ave SE #800,,Minneapolis,MN,,
Mortgage Cadence - Accenture,7701 York Ave S,,Minneapolis,MN,55435,http://www.mortgagecadence.com/
Myriad Mobile,212 3rd Ave N #390,,Minneapolis,MN,55401,https://myriadmobile.com/
MyTap,,,Albuquerque,NM,,
Nerdery,9555 James Ave S,STE 245,Bloomington,MN,55431,
New Lion,,,Minneapolis,MN,,
NEWSCYCLE Solutions,7900 International Dr,#800,Bloomington,MN,55425,https://www.newscyclesolutions.com/
Nexben,219 N 2nd St #310,,Minneapolis,MN,55401,
North Point Geographic Solutions,394 S Lake Ave #400,,Duluth,MN,55802,
Now Micro Inc,1645 Energy Park Dr,#200,St Paul,MN,55108,http://www.nowmicro.com/
Old Republic Title,400 2nd Ave S.,,Minneapolis,MN,55401,
Olson,420 N 5th St #1000 ,,Minneapolis,MN,55401,http://www.olson.com
Olson Design Group,119 Washington Avenue N,2nd Floor,Minneapolis,MN,55401,http://olsondesigngroup.com/#mission
Olsten Staffing Services,1202 State St b,,La Crosse,WI,54601,http://www.olsten.com/Pages/default.aspx
OnCorps Reports,3228 22nd Ave. S.,,Minneapolis,MN,55407,
Optum,11000 Optum Cir,,Eden Prairie,MN,55344,https://www.optum.com/
OSI,4101 Arrowhead Dr.,,Medina,MN,55340,
PeopleNet,4400 Baker Rd,,Minnetonka,MN,55343,https://www.peoplenetonline.com/
Pixelsmith,,,Minneapolis,MN,,https://pixelsmith.co/
PM Toolbelt,2706 Gannon Rd,,St. Paul,MN,55116,http://pmtoolbelt.com/
Power Objects,718 N Washington Ave #202,,Minneapolis,MN,55401,
Prime Digital Academy,9401 James Ave S,Suite 152,Bloomington,MN,55431,https://primeacademy.io/
Procentive,2321 Jack Breault Drive,#100,Hudson,WI,54016,https://procentive.com/
Propelware,17645 Juniper Path,Suite 135,Lakeville,MN,55044,
QBP,6400 W 105th St.,,Bloomington,MN,55438,
Q Consulting,600 Highway 169 S,Suite 730,Minneapolis,MN,55426,http://www.qconsulting.com/
QTS,10525 Hampshire Ave. S,,Bloomington,MN,55438,
Questar,5550 Upper 147th St W,,Apple Valley,MN,55124,http://www.questarai.com
Queue-it,,,Minneapolis,MN,55401,https://queue-it.com/
Quotacy, 505 US-169 #560,,Minneapolis,MN,55441,https://www.quotacy.com/
Randstad Technologies,3601 Minnesota Dr #680,,Edina,MN,55435,
Raway Smith,"765 Hampden Ave, Ste 606",,St. Paul,MN,,http://www.rawaysmith.com
RAZR Marketing,10590 Wayzata Blvd,,Minnetonka,MN,55305,http://razrhq.com/
RBA Consulting,294 Grove Ln E #100,,Wayzata,MN,55391,http://www.rbaconsulting.com/
Reach Media,6440 Flying Cloud Drive,,Eden Prairie,MN,55344,http://reachmedianetwork.com/
REACH Media Network,6440 Flying Cloud Dr,#225,Eden Prairie,MN,55344,http://reachmedianetwork.com/
Recruiters of Minnesota,6110 Blue Cir Dr,#120,Hopkins,MN,55343,http://www.recruitersofmn.com/
Recursive Awesome,550 Vandalia St.  Suite #224,,Saint Paul,MN,55114,
Reeher,165 Western Ave N #8,,St. Paul,MN,55102,https://www.reeher.com/
Reemo,,,Minneapolis,MN,,http://reemohealth.com/
Relationship One,8009 34th Ave S.,#300,Bloomington,MN,55425,
Remote Technologies Incorporated,5775 12th Ave E,#180,Shakopee,MN,55379,http://www.rticorp.com/
RESCO Company,1450 Heggen Street,,HUDSON,WI,54016,http://www.rescocompany.com/
ResortsandLodges.com,,,Cottage Grove,MN,55016,https://www.resortsandlodges.com/
RightSkill,,,Minneapolis,MN,,https://rightskill.com/
Rivertown Communications,"1826 Tower Dr W,",,Stillwater,MN,55082,
Robert Half Technology,800 Nicollet Mall Suite 2700,,Minneapolis,MN,55402,https://www.roberthalf.com/minneapolis-st-paul
Rocket55,807 Broadway St NE,#170,Minneapolis,MN,55413,
RSM US LLP,801 Nicollet Mall,,Minneapolis,MN,55402,http://rsmus.com/
Schmitt Music,2400 Freeway Blvd.,,Brooklyn Center,MN,55430,https://www.schmittmusic.com/
Shutterfly,5005 Dean Lakes Blvd,,Shakopee,MN,55379,https://www.shutterfly.com/
Sigma Beauty,1395 Commerce Drive,,Mendota Heights,MN,55120,http://www.sigmabeauty.com/
Signature Consultants,650 Third Avenue South,Suite 1400,Minneapolis,MN,55402,https://www.sigconsult.com/
"Siteimprove, Inc",7807 Creekridge Cir,,Minneapolis,MN,55439,http://www.siteimprove.com/
Slalom Consulting,80 S 8th St ,Suite 3906,Minneapolis,MN,55402,https://www.slalom.com/
Smart Things,308 E Hennepin Ave,,Minneapolis,MN,55414,https://www.smartthings.com/
Solution Design Group,7500 Olson Memorial Hwy,#250,Golden Valley,MN,55427,https://solutiondesign.com/
Sovos Compliance,9800 Bren Road East, Suite 300,Minnetonka,MN,55343,http://sovos.com/
"Spok, INC",10400 Yellow Cir Dr,,Eden Prairie,MN,55343,http://www.spok.com/
Sportradar,"Fifth Street Towers, 150 S 5th St",#400,Minneapolis,MN,55402,
Sportsdigita,Lake Calhoun Executive Center,3033 Excelsior Blvd #470,Minneapolis,MN,55416,http://www.sportsdigita.com/
SportsEngine,807 Broadway Street NE,Suite 300,Minneapolis,MN,55413,https://www.sportsengine.com/
SPS Commerce ,333 S 7th St #1000,,Minneapolis,MN,55402,http://www.spscommerce.com/
StarTribune,650 3rd Ave. South,Suite 1300,Minneapolis,MN,55488,http://www.startribune.com/
Stone Arch Services,401 South 1st Street,#622,Minneapolis,MN,55401,http://stonearchservices.com/
Stratasys,7665 Commerce Way,,Eden Prairie,MN,55344,http://www.stratasys.com/
TakeTwelve,,,Plymouth,MN,,
TapQA,,,Minneapolis,MN,55403,
Target,"600 N 1st Ave, Minneapolis",,Minneapolis,MN,55403,http://target.com
Tartan Marketing,10467 93rd Ave N,,Maple Grove,MN,55369,http://www.tartanmarketing.com/
TEAMabsolute,2277 36,#160,Roseville,MN,55113,http://www.teamabsolute.com/
Teaspoon Tech,,,Unknown,TX,,http://www.teaspoontech.com/
"Techtrav, INC",12750 Nicollet Ave Suite 210,,Burnsville,MN,55337,https://www.techtrav.com/
TEKsystems,8500 Normandale Lake Blvd.,Suite 1130,Bloomington,MN,55437,https://www.teksystems.com
Tempworks,3140 Neil Armstrong Blvd,Suite 205,Eagan,MN,55121,
The Creative Group,800 Nicollet Mall,Suite 2700,Minneapolis,MN,55402,https://www.roberthalf.com/minneapolis-st-paul/creative-marketing
The Sartell Group,800 Hennepin Ave.,# 400,Minneapolis,MN,55403,
Thompson Reuters,610 Opperman Dr,,Eagan,MN,55123,
Total Expert Inc ,6321 Bury Dr,,Eden Prairie,MN,55346,http://www.totalexpertinc.com/
Total Visibility,2900 Granada Lane N,,Oakdale,MN,55128,
Trestle Systems Integration,4428 W Arm Rd,,Spring Park,MN,55384,
Triangle Park Creative,2600 E. Franklin Ave.,,Minneapolis,MN,55406,http://www.TriangleParkCreative.com
Tri State Adjustments,3439 East Ave S,,La Crosse,WI,54601,http://wecollectmore.com/
TruSignal,25 6th Avenue North,,St. Cloud,MN,56303,
TRUTH Preparatory Academy,1355 W Pierce Butler Route,,St. Paul,MN,55104,
Twin Cities Public Television,172 4th St E,,St Paul,MN,55101,http://www.tpt.org/
United Health Group,,,Minnetonka,MN,,
Valere,,,St Paul,MN,,http://www.valere.com/#/
Van Wagenen,6483 City W Pkwy.,,Eden Prairie,MN,55344,
Varsity Tutors,,,Minneapolis,MN,,
Vemos,4500 Park Glen Rd #360,,Minneapolis,MN,55416,https://www.vemos.io/
Verisk Analytics,6625 W 78th St #280,,Minneapolis,MN,55439,
Vivial,10800 Lyndale Avenue South,Suite 300,Bloomington,MN,55420,https://vivial.net/
Volacious Brands LLC (JFUERST Real Estate Photography),2010 E Hennepin Ave,,Minneapolis,MN,55413,http://jfuerst.com/
Walker Art Center ,725 Vineland Pl,,Minneapolis,MN,55403,http://www.walkerart.org/
Washington County Library,8595 Central Park Place,,Woodbury,MN,55125,https://www.washcolib.org/
WaveBid,2400 N 2nd St.,#400,Minneapolis,MN,55411,
Wells Fargo,90 S 7th St,,Minneapolis,MN,55402,http://wellsfargo.com
Western National Insurance,5350 W 78th St,,Edina,MN,55439,
Westwerk,1621 E Hennepin Ave.,B 26,Minneapolis,MN,55414,
White House Custom Colour,2840 Lone Oak Pkwy,,Eagan,MN,55121,https://www.whcc.com/?gclid=CM_Jtp7cg9QCFUW2wAodZhAKsQ
Wildflower Foundation,,,Minneapolis,MN,,http://wildflowerschools.org/
Winmark,,,Minneapolis,MN,55441,
Wipro,1650 West 82nd Street,Suite 725,Bloomington,MN,55431,http://www.wipro.com/
Without Wire Inventory Sciences,333 N Washington Ave,#106,Minneapolis,MN,55401,http://withoutwire.com/
Xigent,17200 Medina Road,Suite 800,Plymouth,MN,55447,
YA Engage,10 South 5th Street,7th Floor,Minneapolis,MN,55402,http://www.yaengage.com/